Index,Raw Address,Actual Address,Mode,Box Entrypoint
0x03F8,0x021F0046,0x02030046,ARM,Box12/21~
0x060C,0x021F0046,0x02030046,ARM,Box12/21~
0x15BC,0x020F1404,0x02031404,ARM,Box14/24~
0x1626,0x020F0000,0x02030000,ARM,Box12/20~
0x4312,0x0202FC01,0x0202FC01,Thumb,Box12/ 7~
0x4317,0x0202FC01,0x0202FC01,Thumb,Box12/ 7~
0x4D12,0x02030000,0x02030000,ARM,Box12/20~
0x7912,0x02031013,0x02031013,Thumb,Box14/11~
0x89FA,0x0277050B,0x0203050B,Thumb,Box13/ 6~
0xA253,0x021B1333,0x02031333,Thumb,Box14/21~
0xB2A9,0x021705EC,0x020305EC,ARM,Box13/ 9~
0xC7FE,0x021B06DB,0x020306DB,Thumb,Box13/12~
0xC950,0x024706D0,0x020306D0,ARM,Box13/12~
0xCAA2,0x022B0066,0x02030066,ARM,Box12/21~
0xCD48,0x02EEBB7F,0x0202BB7F,Thumb,Box 5/11~
0xCF8B,0x02030007,0x02030007,Thumb,Box12/20~
0xD624,0x02230199,0x02030199,Thumb,Box12/25~
0xDD37,0x02070023,0x02030023,Thumb,Box12/20~
0xE07C,0x02FF0155,0x02030155,Thumb,Box12/24~
0xE472,0x021B02A0,0x020302A0,ARM,Box12/28~
0xE69D,0x02E2ED20,0x0202ED20,ARM,Box10/20~
0xFF3B,0x026F026E,0x0203026E,ARM,Box12/28~
0xFF41,0x025F025E,0x0203025E,ARM,Box12/28~
0xFF61,0x027F027E,0x0203027E,ARM,Box12/28~
0xFF6B,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF78,0x027F0000,0x02030000,ARM,Box12/20~
0xFF79,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF7B,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF7E,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF81,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF83,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF86,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF8B,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF8E,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF96,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF99,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF9B,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF9E,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFA1,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFA3,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFAB,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFAE,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFB1,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFB3,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFB6,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFB9,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFBB,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFC3,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFC6,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFC9,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFCE,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFD3,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFF8,0x027F0000,0x02030000,ARM,Box12/20~
0xFFF9,0x027F027F,0x0203027F,Thumb,Box12/28~
