Index,Raw Address,Actual Address,Mode,Box Entrypoint
0x03F8,0x021F0046,0x02030046,ARM,Box12/21~
0x060C,0x021F0046,0x02030046,ARM,Box12/21~
0x15BC,0x020F1404,0x02031404,ARM,Box14/24~
0x1626,0x020F0000,0x02030000,ARM,Box12/20~
0x3D88,0x02C7030E,0x0203030E,ARM,Box12/30~
0x4D1B,0x02030405,0x02030405,Thumb,Box13/ 3~
0xBCB2,0x020B0221,0x02030221,Thumb,Box12/27~
0xC290,0x020310C7,0x020310C7,Thumb,Box14/14~
0xC6AA,0x02E2EDE2,0x0202EDE2,ARM,Box10/22~
0xCFAD,0x02870602,0x02030602,ARM,Box13/ 9~
0xD45D,0x02031036,0x02031036,ARM,Box14/12~
0xD628,0x02031003,0x02031003,Thumb,Box14/11~
0xEA20,0x02EEE440,0x0202E440,ARM,Box 9/21~
0xEB51,0x027312D3,0x020312D3,Thumb,Box14/20~
0xFBED,0x023301F0,0x020301F0,ARM,Box12/26~
0xFF11,0x026F026E,0x0203026E,ARM,Box12/28~
0xFF37,0x027F027E,0x0203027E,ARM,Box12/28~
0xFF41,0x024F024E,0x0203024E,ARM,Box12/27~
0xFF57,0x027F027E,0x0203027E,ARM,Box12/28~
0xFF5C,0x025F001A,0x0203001A,ARM,Box12/20~
0xFF61,0x026F026E,0x0203026E,ARM,Box12/28~
0xFF6C,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF79,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF7C,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF7F,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF81,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF84,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF87,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF8C,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF8F,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF97,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF99,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF9C,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFF9F,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFA1,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFA4,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFAC,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFAF,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFB1,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFB4,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFB7,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFB9,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFBC,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFC4,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFC7,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFC9,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFCE,0x027F0000,0x02030000,ARM,Box12/20~
0xFFD1,0x027F027F,0x0203027F,Thumb,Box12/28~
0xFFF9,0x027F027F,0x0203027F,Thumb,Box12/28~
